Country;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Australia;235.993;244.849;233.908;223.654;218.488;224.220;186.640;155.817;137.465;153.826;217.418
Austria;125.605;135.228;154.260;198.658;158.746;139.329;131.724;134.966;121.311;139.543;246.265
Belgium;116.055;105.529;106.345;128.762;106.087;109.167;119.663;129.450;101.553;122.386;192.002
Canada;257.763;259.034;260.283;271.808;296.740;286.447;321.042;341.130;184.575;406.020;437.590
Chile;65.247;84.352;83.549;101.911;135.490;207.200;339.350;254.080;154.551;76.545;198.398
Colombia;;;;5.700;8.300;104.459;217.858;225.817;74.801;40.675;
Costa Rica;;;;15.698;6.580;8.561;9.162;7.757;;;
Czechia;28.607;27.843;38.490;31.589;34.808;43.527;55.872;63.340;53.795;67.270;347.726
Denmark;49.592;55.953;64.532;75.369;71.228;66.424;64.577;61.929;48.005;57.261;101.175
Estonia;1.107;1.633;1.347;7.370;7.693;9.067;9.711;10.953;10.309;12.468;42.433
Finland;23.334;23.873;23.647;21.414;27.274;23.735;23.146;24.178;23.260;28.043;42.470
France;151.599;249.176;236.915;240.497;243.597;246.227;259.934;268.462;208.493;250.383;284.910
Germany;965.908;1.108.068;1.342.529;2.016.241;1.719.075;1.384.018;1.383.580;1.345.943;994.819;1.139.816;2.481.019
Greece;17.732;31.302;29.510;33.986;86.120;80.504;87.290;95.385;63.357;28.728;62.640
Hungary;20.340;21.250;26.004;25.787;23.803;36.453;49.312;55.297;43.785;49.069;55.514
Iceland;2.827;3.932;4.348;4.963;7.859;11.758;11.537;9.546;7.711;8.547;15.438
Ireland;37.200;41.000;43.700;49.300;53.900;57.200;61.900;61.700;56.500;35.000;91.800
Israel;16.558;16.884;24.112;27.908;25.977;26.357;28.099;33.247;19.676;25.497;74.714
Italy;321.305;279.021;248.360;250.026;262.929;301.071;285.500;264.571;191.766;243.607;336.495
Japan;303.926;306.742;336.525;391.160;427.585;474.996;519.683;591.961;220.612;79.955;561.800
Korea;300.177;360.473;407.063;372.935;402.203;452.657;495.079;438.220;233.133;220.571;412.948
Latvia;3.666;3.525;4.501;4.505;3.448;5.125;6.534;6.612;4.560;6.435;7.343
Lithuania;2.486;3.036;4.766;3.747;5.955;10.213;12.322;19.655;22.292;21.146;81.041
Luxembourg;19.439;19.797;21.024;22.608;21.557;23.180;23.353;25.150;20.970;23.758;29.851
Mexico;18.153;62.990;43.481;34.406;35.906;32.778;38.675;40.543;58.430;68.523;74.109
Netherlands;115.678;122.321;139.348;159.483;182.160;183.856;191.005;215.228;170.612;208.056;359.331
New Zealand;71.719;75.405;90.676;101.514;104.021;103.428;104.221;124.742;54.489;28.164;88.848
Norway;70.012;66.934;61.429;59.068;58.508;49.774;44.406;44.570;30.818;46.604;83.281
Poland;47.131;46.614;31.977;86.087;107.038;127.997;137.588;163.235;163.512;224.206;335.289
Portugal;38.537;33.246;35.265;37.851;46.921;61.413;93.154;129.155;118.124;111.311;143.081
Slovak Republic;2.940;2.475;2.418;3.774;3.610;2.911;2.869;2.486;2.834;2.002;1.782
Slovenia;12.281;11.621;11.311;12.665;13.760;15.520;24.101;40.504;25.494;32.487;36.763
Spain;272.489;248.350;264.485;290.005;352.174;453.950;559.998;666.022;415.150;752.309;1.120.474
Sweden;82.597;95.361;106.100;113.868;142.986;124.976;114.431;98.235;65.789;74.395;86.513
Switzerland;143.783;155.401;152.106;150.432;143.100;137.803;140.087;140.554;136.962;141.549;162.435
Türkiye;;;;;273.869;364.561;466.890;578.488;242.496;615.095;399.643
United States;1.031.631;990.553;1.016.518;1.051.031;1.183.505;1.127.167;1.096.611;1.031.765;707.362;740.002;1.018.004
